Campus,Location,Enrollment[3],Yearestablished,Nickname,"Athletics (Affiliation)
"
Penn State Abington,"Abington, Pennsylvania","3,728",1950,Nittany Lions,"NEAC (NCAA Division III)
"
Penn State Altoona,"Logan Township, Pennsylvania","3,070",1939,Nittany Lions,"AMCC (NCAA Division III)
"
Penn State Beaver,"Monaca, Pennsylvania",599,1965,Nittany Lions,"PSUAC (USCAA)
"
"Penn State Erie, The Behrend College","Erie, Pennsylvania","4,108",1948,Lions,"AMCC (NCAA Division III)
"
Penn State Berks,"Spring Township, Pennsylvania","2,482",1958,Nittany Lions,"NEAC (NCAA Division III)
"
Penn State Brandywine,"Media, Pennsylvania","1,332",1967,Nittany Lions,"PSUAC (USCAA)
"
Penn State DuBois,"DuBois, Pennsylvania",563,1935,Nittany Lions,"PSUAC (USCAA)
"
Penn State Fayette,"Uniontown, Pennsylvania",589,1934,Roaring Lions,"PSUAC (USCAA)
"
Penn State Greater Allegheny,"McKeesport, Pennsylvania",439,1948,Lions,"PSUAC (USCAA)
"
"Penn State Harrisburg, The Capital College","Middletown, Pennsylvania","4,898",1966,Lions,"NEAC (NCAA Division III)
"
Penn State Hazleton,"Hazleton, Pennsylvania",619,1934,Nittany Lions,"PSUAC (USCAA)
"
Penn State Lehigh Valley,"Center Valley, Pennsylvania",977,1912,Nittany Lions,"PSUAC (USCAA)
"
Penn State Mont Alto,"Mont Alto, Pennsylvania",730,1903,Nittany Lions,"PSUAC (USCAA)
"
Penn State New Kensington,"New Kensington, Pennsylvania",545,1958,Nittany Lions,"PSUAC (USCAA)
"
Penn State Schuylkill,"Schuylkill Haven, Pennsylvania",631,1934,Nittany Lions,"PSUAC (USCAA)
"
Penn State Scranton,"Dunmore, Pennsylvania",975,1923,Nittany Lions,"PSUAC (USCAA)
"
Penn State Shenango,"Sharon, Pennsylvania",402,1965,Lions,"PSUAC (USCAA)
"
Penn State Wilkes-Barre,"Lehman, Pennsylvania",424,1916,Nittany Lions,"PSUAC (USCAA)
"
Penn State York,"York, Pennsylvania",828,1926,Nittany Lions,"PSUAC (USCAA)
"
Penn State University Park,"University Park, Pennsylvania next to State College, Pennsylvania","46,723",1855,Nittany Lions,"NCAA Division I – Big Ten Conference
"
